"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"64","Stuart Skinner","EDM","16","940.16666666667","541","497","44","0.919","2.81","7.75","53.83","154","132","22","0.857","1.40","5.55","161","144","17","0.894","1.08","0.39","194","189","5","0.974","0.32","2.75","35","74","33.91","21.20"
"76","Spencer Knight","FLA","15","841.35","457","420","37","0.919","2.64","6.71","39.34","120","105","15","0.875","1.07","6.47","118","103","15","0.873","1.07","-2.25","194","187","7","0.964","0.50","0.75","17","55","35.89","23.46"
"70","Logan Thompson","VGK","19","1142.65","620","569","51","0.918","2.68","8.31","53.57","153","127","26","0.830","1.37","1.37","157","143","14","0.911","0.74","2.96","270","260","10","0.963","0.53","0.79","48","89","37.50","21.80"
"47","Igor Shesterkin","NYR","21","1272.2166666667","637","584","53","0.917","2.50","7.93","59.9","180","152","28","0.844","1.32","4.20","178","161","17","0.904","0.80","2.23","242","234","8","0.967","0.38","1.67","60","81","34.65","20.91"
"9","Semyon Varlamov","NYI","10","583.75","311","285","26","0.916","2.67","3.75","31.33","94","81","13","0.862","1.34","3.82","82","74","8","0.902","0.82","0.86","113","108","5","0.956","0.51","-0.49","28","47","36.01","19.54"
"13","Darcy Kuemper","WSH","20","1126.1333333333","570","522","48","0.916","2.56","6.52","54.83","145","116","29","0.800","1.55","-3.06","137","126","11","0.920","0.59","3.80","256","248","8","0.969","0.43","2.23","52","84","37.02","20.13"
"42","Vitek Vanecek","N.J","18","967.06666666667","442","405","37","0.916","2.30","5.28","40.56","114","93","21","0.816","1.30","-0.61","108","99","9","0.917","0.56","2.67","187","180","7","0.963","0.43","0.47","21","60","37.09","20.16"
"45","Ville Husso","DET","18","1061.3333333333","536","491","45","0.916","2.54","6.27","51.28","133","117","16","0.880","0.90","7.79","155","135","20","0.871","1.13","-3.25","212","203","9","0.958","0.51","-0.53","33","91","35.86","24.24"
"65","Jake Oettinger","DAL","19","1055.8833333333","530","485","45","0.915","2.56","5.70","53.4","169","143","26","0.846","1.48","4.23","120","107","13","0.892","0.74","-0.04","217","211","6","0.972","0.34","2.67","38","76","33.41","19.16"
"7","Alex Stalock","CHI","7","328.2","187","171","16","0.914","2.93","1.89","17.23","45","36","9","0.800","1.65","-0.95","55","48","7","0.873","1.28","-1.06","73","73","0","1.000","0.00","2.92","17","27","36.70","18.88"
"53","Adin Hill","VGK","10","604.53333333333","279","255","24","0.914","2.38","2.69","24.94","68","57","11","0.838","1.09","1.16","88","77","11","0.875","1.09","-1.49","104","102","2","0.981","0.20","2.16","17","36","36.31","17.83"
"77","Pyotr Kochetkov","CAR","10","564.56666666667","266","243","23","0.914","2.44","2.44","26.21","98","85","13","0.867","1.38","4.53","59","52","7","0.881","0.74","-0.63","94","91","3","0.968","0.32","0.76","13","40","32.43","20.09"
"54","Karel Vejmelka","ARI","18","1070.4166666667","624","570","54","0.913","3.03","5.69","64.82","192","159","33","0.828","1.85","1.35","176","162","14","0.920","0.78","5.02","229","222","7","0.969","0.39","2.15","27","96","33.30","20.65"
"61","Carter Hart","PHI","21","1244.5333333333","655","598","57","0.913","2.75","5.65","67.83","199","170","29","0.854","1.40","6.60","172","154","18","0.895","0.87","0.58","244","235","9","0.963","0.43","0.75","55","131","34.69","21.25"
"1","Craig Anderson","BUF","11","626.85","354","323","31","0.912","2.97","2.86","32.91","102","87","15","0.853","1.44","3.25","101","89","12","0.881","1.15","-1.09","133","129","4","0.970","0.38","1.31","24","47","36.71","21.39"
